id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
30,I,1.25,0.9625,0.3,13.097469,6.36446275,2.9766975,4.252425,8.0
31,F,1.475,1.1625,0.4125,30.51823675,13.13999325,6.22271525,8.788345,14.0
32,M,1.575,1.3625,0.4875,40.029494,20.19901875,8.4198015,11.7650425,11.0
33,I,0.925,0.6875,0.225,5.10291,2.11203775,1.28990225,1.927766,6.0
34,M,1.575,1.2875,0.4625,35.28095275,15.7339725,7.93786,10.77281,9.0
35,F,1.525,1.1625,0.4125,31.638042,11.5382465,5.2446575,9.07184,14.0
36,M,1.3,0.95,0.275,18.27125275,8.71747125,3.231843,4.53592,8.0
37,F,1.5,1.25,0.4125,32.16250775,12.85649825,7.52679225,9.4970825,14.0
38,M,1.25,0.9375,0.35,17.02387475,7.9095105,3.55786225,5.2446575,10.0
39,M,1.325,1.0625,0.325,22.69377475,9.2135875,5.93922025,6.87475375,11.0
40,M,1.5625,1.2875,0.475,37.32211675,16.045817,9.53960675,11.623295,11.0
41,Brian,1.05,0.825,0.2625,11.963489,4.6209685,3.01922175,3.40194,8.0
42,M,1.3,1.0125,0.3375,22.1976585,9.87980075,5.0745605,6.0951425,8.0
43,M,1.3,1.0,0.3125,18.6256215,9.525432,4.40834725,4.819415,7.0
44,F,0.8,0.625,0.2,4.43669675,1.70097,0.97805775,1.2757275,10.0
45,F,1.525,1.2,0.425,30.05047,11.8217415,6.30776375,8.3631025,13.0
46,F,1.5,1.1625,0.4375,37.0527965,15.1669825,7.35669525,11.3681495,14.0
47,M,1.4625,1.1375,0.475,31.51046925,14.628342,7.89533575,7.37087,16.0
48,M,1.6125,1.225,0.3875,31.79396425,14.798439,7.3425205,8.9300925,11.0
49,M,1.3875,1.1375,0.475,26.86115125,10.64523725,5.4714535,10.9145575,13.0
50,M,1.6375,1.3125,0.4125,38.90968875,16.0741665,8.37727725,9.355335,11.0
51,I,0.9125,0.675,0.2125,6.7755305,4.0539785,1.57339725,1.984465,7.0
52,I,1.375,1.0625,0.375,19.4761065,8.49067525,3.9405805,6.9456275,13.0
53,M,1.3,1.0125,0.55,27.5273645,8.3631025,3.95475525,9.922325,18.0
54,M,0.875,0.65,0.225,5.386405,2.1262125,1.09145575,1.8427175,10.0
55,I,0.9875,0.7,0.2625,8.12213175,3.345241,1.8994165,2.324659,7.0
56,M,1.2,0.975,0.3375,16.76872925,8.164656,3.92640575,5.2446575,8.0
57,F,1.375,1.0875,0.3625,20.97863,8.15048125,4.66349275,6.9456275,9.0
58,I,1.075,0.8375,0.2375,10.16329575,4.9611625,2.22543575,2.6365035,8.0
59,I,0.7875,0.5875,0.225,4.2807745,2.26796,1.06310625,1.417475,6.0
60,M,1.5375,1.2375,0.4125,33.0271675,14.628342,8.221355,9.0434905,12.0
61,F,1.2625,1.0,0.3125,19.83047525,9.015141,4.252425,5.2446575,10.0
62,I,0.9375,0.6625,0.2375,6.1518415,2.721552,1.417475,2.551455,10.0
63,F,1.55,1.175,0.375,28.33532525,11.3398,7.6260155,7.087375,11.0
64,I,1.1875,0.975,0.3125,19.8163005,9.76640275,3.72795925,5.2446575,9.0
65,M,1.375,1.075,0.375,25.798045,9.241937,5.45727875,7.030676,11.0
66,I,0.9625,0.725,0.2625,10.432616,4.422522,1.814368,2.9766975,7.0
67,M,1.4125,1.1,0.3125,26.54930675,12.3320325,5.51397775,7.5126175,9.0
68,M,1.475,1.1375,0.425,33.46658475,13.65028425,5.556502,8.788345,16.0
69,F,1.425,1.1125,0.3625,24.76328825,9.87980075,5.82582225,7.5126175,10.0
70,M,1.4125,1.125,0.425,25.3728025,11.0846545,6.13766675,7.087375,9.0
71,F,1.425,1.1,0.3875,27.25804425,11.49572225,4.63514325,7.654365,10.0
72,F,1.1625,0.875,0.325,16.0741665,7.10154975,3.288542,4.9611625,9.0
73,M,1.4375,1.125,0.3125,27.1871705,13.53688625,6.2652395,7.5126175,9.0
74,I,1.575,1.2125,0.4125,33.35318675,14.84096325,6.90310325,8.9300925,11.0
75,M,1.6375,1.2875,0.4375,39.41997975,17.08057375,8.391452,11.623295,11.0
76,M,1.4375,1.15,0.4,31.62386725,15.80484625,6.25106475,7.37087,9.0
77,M,1.3125,1.0,0.45,20.22736825,7.81028725,5.06038575,6.23689,10.0
78,F,1.3125,1.0625,0.375,27.34309275,6.81805475,4.989512,8.50485,15.0
79,I,1.1875,0.925,0.2875,14.75591475,6.406987,3.4869885,4.12485225,9.0
80,F,1.4375,1.1125,0.4125,24.99008425,11.623295,5.5848515,7.7961125,12.0
81,I,1.25,0.95,0.3375,14.004653,5.4714535,2.93417325,5.10291,15.0
82,M,1.525,1.1375,0.375,30.71668325,11.0846545,4.8477645,10.61688775,12.0
83,F,1.575,1.225,0.3625,31.62386725,10.432616,6.56290925,10.7444605,11.0
84,I,1.4125,1.0875,0.3875,30.09299425,10.64523725,4.422522,9.2135875,18.0
85,M,1.35,1.025,0.35,18.01610725,7.15824875,4.43669675,6.0951425,10.0
86,M,1.4625,1.075,0.4,26.138239,11.38232425,7.711064,7.7961125,9.0
87,M,1.3125,1.025,0.35,20.638436,9.85145125,4.86193925,5.386405,8.0
88,M,1.375,1.125,0.375,26.20911275,9.7238785,6.22271525,8.278054,11.0
89,I,1.0125,0.75,0.3,8.901743,3.912231,1.99863975,2.83495,9.0
90,I,1.3125,1.0,0.35,19.85882475,8.54737425,4.2240755,5.953395,8.0
91,M,1.4,1.125,0.3875,25.8263945,10.2341695,5.23048275,8.788345,13.0
92,F,1.5,1.2125,0.4,32.44600275,12.8423235,6.973977,10.3475675,14.0
93,M,1.575,1.2,0.3875,34.6147395,17.05222425,7.6827145,8.3631025,10.0
94,I,0.5,0.375,0.1125,1.09145575,0.35436875,0.24097075,0.283495,5.0
95,I,0.4375,0.3,0.1375,0.907184,0.3118445,0.15592225,0.283495,5.0
96,F,1.5,1.175,0.375,31.127751,14.74174,6.84640425,8.788345,11.0
97,M,1.45,1.125,0.3625,26.7335785,12.1052365,6.0384435,6.80388,10.0
98,I,0.775,0.5625,0.1875,3.92640575,1.5025235,0.94970825,1.13398,5.0
99,I,1.2125,0.9375,0.25,16.9246515,6.4920355,3.7137845,5.2446575,8.0
100,I,1.175,0.925,0.25,11.5949455,4.74854125,2.90582375,3.78465825,7.0
101,M,1.7,1.35,0.425,50.53298375,23.6151335,11.60912025,11.7650425,10.0
102,I,1.375,1.0625,0.35,26.54930675,10.2341695,4.97533725,8.3631025,20.0
103,M,1.525,1.2,0.4375,36.117263,16.4143605,7.3992195,10.77281,13.0
104,F,1.225,0.925,0.3125,13.8062065,6.2652395,3.6003865,3.8271825,8.0
105,M,1.425,1.1625,0.35,24.323871,10.77281,5.79747275,7.087375,9.0
106,I,1.475,1.15,0.4,27.76833525,11.679994,6.80388,7.7961125,10.0
107,F,1.65,1.2625,0.4625,35.76289425,15.26620575,9.015141,10.6310625,10.0
108,M,1.25,0.975,0.35,18.10115575,7.824462,3.515338,5.2446575,11.0
109,M,1.6125,1.25,0.425,37.9032815,16.0174675,7.52679225,10.0640725,11.0
110,M,1.3875,1.0625,0.3875,26.7902775,10.0640725,5.3580555,7.087375,11.0
111,M,1.3375,1.05,0.3375,20.87940675,9.8372765,4.195726,5.8116475,9.0
112,I,0.4875,0.3625,0.125,1.09145575,0.35436875,0.226796,0.340194,3.0
113,I,1.0625,0.8,0.25,9.07184,3.69960975,2.05533875,2.9766975,8.0
114,M,1.6,1.3,0.475,38.11590275,18.6256215,8.54737425,10.3475675,11.0
115,F,1.825,1.4375,0.4875,54.0624965,25.8830935,12.06271225,14.21727425,11.0
116,F,1.675,1.2875,0.5625,45.982889,14.514944,10.9712565,13.1825175,16.0
117,F,1.6125,1.25,0.475,32.16250775,13.93377925,6.73300625,11.056305,9.0
118,I,0.6875,0.5125,0.175,3.04757125,1.37495075,0.793786,0.9922325,6.0
119,F,1.375,1.025,0.375,24.9192105,9.808927,6.44951125,7.0023265,10.0
120,I,1.05,0.8,0.275,10.375917,4.0539785,2.608154,2.9766975,8.0
121,M,1.525,1.225,0.4,31.70891575,13.947954,7.32834575,9.4970825,11.0
122,I,1.4875,1.1625,0.3625,27.91008275,12.530479,5.96756975,6.6621325,8.0
123,I,0.925,0.7,0.2,6.13766675,2.721552,1.28990225,1.68679525,7.0
124,M,1.0875,0.8,0.3,9.8372765,4.66349275,1.871067,2.6932025,8.0
125,F,1.7375,1.35,0.5125,49.8100715,20.6100865,9.695529,15.18115725,16.0
126,M,1.225,0.95,0.35,18.1153305,6.066793,4.32329875,4.53592,14.0
127,I,1.45,1.125,0.325,22.0275615,10.432616,4.55009475,6.520385,10.0
128,I,0.6125,0.4375,0.175,1.94194075,0.58116475,0.396893,0.56699,4.0
129,F,1.5125,1.2375,0.4,31.3828965,13.50853675,7.2291225,9.922325,14.0
130,I,1.05,0.825,0.25,9.19941275,4.43669675,1.97029025,2.9199985,7.0
131,M,1.475,1.1375,0.4,30.40483875,13.9763035,6.690482,8.221355,10.0
132,F,1.375,1.0875,0.4,24.38057,8.09378225,4.9044635,9.07184,24.0
133,F,1.5125,1.225,0.4125,32.16250775,11.9351395,8.334753,9.922325,12.0
134,M,1.6,1.2625,0.4125,35.16755475,17.08057375,8.43397625,10.0640725,11.0
135,F,1.575,1.1875,0.4,35.62114675,13.93377925,8.54737425,9.2135875,10.0
136,I,1.4,1.1,0.4125,24.9192105,10.3475675,5.783298,7.37087,15.0
137,M,1.1,0.8625,0.2625,10.41844125,4.139027,1.8427175,3.40194,12.0
138,I,1.425,1.125,0.3625,24.6924145,11.736693,5.5281525,6.23689,9.0
139,F,1.5,1.2,0.4,35.47939925,17.08057375,8.34892775,9.2135875,11.0
140,F,1.6875,1.3125,0.4875,44.22522,18.86659225,8.4198015,11.1980525,11.0
141,M,1.35,1.0375,0.3125,21.829115,8.97261675,4.8477645,5.5281525,9.0
142,I,1.0125,0.75,0.275,8.958442,3.55786225,1.80019325,2.62232875,8.0
143,I,0.9375,0.7125,0.25,6.80388,1.97029025,1.2757275,2.26796,7.0
144,F,1.5875,1.25,0.425,38.22930075,16.8112535,8.66077225,10.3475675,11.0
145,M,1.3,0.9875,0.35,18.4555245,7.04485075,4.5642695,5.2446575,8.0
146,I,1.0,0.775,0.2125,7.2858215,3.96893,1.417475,2.33883375,7.0
147,I,0.725,0.5625,0.1875,3.345241,1.88524175,0.75126175,1.020582,6.0
148,M,1.5125,1.1875,0.45,38.82464025,14.5432935,8.278054,9.7805775,10.0
149,I,0.6875,0.4875,0.1375,3.005047,1.1623295,0.510291,0.7654365,5.0
150,I,0.5125,0.3875,0.1375,1.20485375,0.29766975,0.35436875,0.510291,4.0
151,M,1.1375,0.875,0.3125,13.39513875,5.34388075,2.9766975,4.252425,9.0
152,I,1.15,0.875,0.325,12.813974,5.74077375,2.90582375,3.685435,8.0
153,M,1.525,1.2,0.3875,32.33260475,19.06503875,6.76135575,6.6621325,8.0
154,I,1.275,0.9375,0.3125,15.29455525,6.98815175,3.061746,4.53592,8.0
155,M,1.5375,1.1875,0.4125,34.37376875,17.463292,7.3992195,9.4970825,10.0
156,I,1.05,0.8125,0.3125,10.262519,4.97533725,2.4097075,3.40194,8.0
157,M,1.45,1.0875,0.3625,25.060958,11.0846545,5.23048275,6.23689,8.0
158,I,0.35,0.2625,0.0875,0.41106775,0.15592225,0.09922325,0.1417475,4.0
159,I,0.6125,0.425,0.1625,1.80019325,0.69456275,0.3685435,0.56699,7.0
160,M,1.875,1.45,0.5375,58.13064975,18.32795175,12.54465375,16.556108,11.0
161,I,0.9,0.7375,0.2,7.81028725,3.96893,1.74349425,2.26796,7.0
162,I,0.8875,0.7,0.225,7.49844275,2.65067825,1.43164975,2.1262125,7.0
163,I,1.175,0.8875,0.3,14.2030995,7.257472,3.2601925,3.8271825,7.0
164,M,1.4625,1.15,0.3625,26.03901575,9.76640275,5.23048275,8.0796075,14.0
165,F,1.4,1.1125,0.3375,22.6512505,8.94426725,5.54232725,7.93786,10.0
166,M,1.4125,1.1125,0.325,23.45921125,9.76640275,4.2240755,6.80388,13.0
167,F,1.6625,1.2875,0.425,39.405805,17.349894,8.674947,10.3475675,11.0
168,I,1.2,0.8625,0.325,12.587178,4.9611625,2.5231055,3.96893,8.0
169,I,1.2625,0.975,0.325,14.118051,6.73300625,3.30271675,4.29494925,8.0
170,F,1.4625,1.2625,0.4,36.230661,17.78931125,6.917278,9.7805775,11.0
171,F,1.5375,1.2125,0.475,34.5013415,14.514944,6.350288,10.0640725,11.0
172,F,1.2,0.95,0.325,17.349894,4.91863825,4.01145425,5.3013565,14.0
173,I,0.725,0.525,0.15,2.59397925,1.020582,0.52446575,0.850485,5.0
174,I,1.4,1.1,0.4125,24.777463,9.05766525,5.8683465,7.087375,12.0
175,I,1.35,1.0875,0.3375,19.43358225,9.53960675,3.1467945,5.85417175,8.0
176,M,1.3875,1.1,0.3375,22.01338675,9.525432,5.23048275,6.520385,14.0
177,M,1.325,1.075,0.3625,21.27629975,7.52679225,4.479221,6.9456275,18.0
178,F,1.5625,1.2125,0.4375,36.457457,16.782904,7.75358825,9.922325,10.0
179,M,1.2875,0.9875,0.3375,16.782904,6.16601625,4.06815325,4.819415,10.0
180,M,1.4875,1.1375,0.375,24.040376,11.29727575,4.8477645,7.2291225,10.0
181,F,1.675,1.3125,0.4625,44.09764725,18.83824275,12.57300325,10.9145575,12.0
182,F,1.5125,1.2125,0.45,27.612413,11.32562525,4.195726,8.50485,18.0
183,I,0.95,0.725,0.2375,8.674947,3.6003865,1.80019325,2.551455,7.0
184,F,1.4375,1.0875,0.3875,29.313383,12.360382,6.30776375,8.0796075,10.0
185,M,1.675,1.3,0.4375,41.00755175,19.504456,8.0229085,10.78698475,11.0
186,F,1.5,1.1375,0.425,28.236102,11.01378075,6.577084,9.2135875,18.0
187,M,1.4125,1.1,0.3,24.36639525,11.8784405,5.03203625,5.953395,8.0
188,I,1.1875,0.8875,0.275,14.04717725,7.3425205,2.67902775,3.96893,7.0
189,I,0.575,0.4125,0.1125,1.304077,0.69456275,0.43941725,0.4252425,4.0
190,F,1.575,1.225,0.4125,32.16250775,13.99047825,7.3425205,9.355335,12.0
191,M,1.45,1.1625,0.3875,31.18445,14.75591475,6.27941425,7.93786,9.0
192,I,1.0625,0.8375,0.25,10.27669375,3.798833,2.36718325,3.118445,6.0
193,M,1.55,1.225,0.4375,35.50774875,16.85377775,9.96484925,9.07184,10.0
194,M,1.5,1.2,0.3625,27.25804425,13.4660125,5.03203625,7.7961125,8.0
195,I,1.3,1.0,0.2625,17.53416575,9.28446125,3.061746,4.43669675,7.0
196,F,1.8,1.4375,0.4375,51.27007075,26.28192725,11.15552825,12.6155275,11.0
197,I,1.0875,0.8375,0.3,12.48795475,4.989512,2.05533875,4.3941725,9.0
198,I,1.05,0.85,0.275,11.8217415,6.10931725,2.48058125,2.83495,7.0
199,I,0.925,0.725,0.225,7.92368525,3.92640575,1.63009625,2.1262125,6.0
200,I,0.875,0.65,0.2125,5.34388075,2.211261,0.963883,1.70097,6.0
201,F,1.45,1.125,0.35,23.7285315,10.24834425,4.53592,6.6621325,10.0
202,F,1.6125,1.25,0.425,34.302895,15.2236815,7.0023265,9.07184,11.0
203,F,1.3125,1.025,0.3625,23.019794,6.406987,5.88252125,8.334753,13.0
204,F,1.425,1.0875,0.4125,25.51455,11.0846545,5.79747275,7.087375,10.0
205,M,1.325,1.0125,0.375,18.257078,7.29999625,4.252425,5.10291,10.0
206,M,1.475,1.15,0.3625,29.44095575,12.06271225,7.200773,7.5126175,9.0
207,I,0.925,0.6875,0.25,6.917278,3.061746,1.77184375,1.984465,8.0
208,I,1.0125,0.7625,0.2,8.901743,3.061746,1.99863975,2.83495,7.0
209,M,1.6625,1.2875,0.4625,39.9444455,17.293195,7.38504475,10.21999475,11.0
210,I,0.3375,0.2625,0.075,0.38271825,0.226796,0.09922325,0.226796,4.0
211,M,0.9625,0.7125,0.2625,7.824462,2.59397925,1.8994165,2.1262125,8.0
212,I,1.375,1.075,0.3375,19.60367925,8.8733935,3.89805625,5.6699,10.0
213,M,1.7375,1.4,0.4625,49.45570275,21.89998875,10.6877615,11.7650425,10.0
214,I,0.925,0.6875,0.2125,5.59902625,2.721552,1.6159215,1.70097,6.0
215,I,1.025,0.75,0.25,7.98038425,3.9972795,1.587572,2.4097075,7.0
216,I,0.9125,0.675,0.225,6.08096775,2.721552,1.31825175,2.494756,6.0
217,M,1.425,1.1125,0.3625,25.72717125,10.61688775,4.80524025,10.0640725,14.0
218,M,1.4375,1.125,0.325,25.44367625,12.303683,5.556502,6.87475375,8.0
219,M,1.3125,1.025,0.4,24.30969625,8.561549,4.479221,8.0796075,15.0
220,I,1.3,1.0625,0.35,22.80717275,13.664459,4.932813,5.8116475,9.0
221,M,1.475,1.125,0.375,28.76056775,12.94154675,6.78970525,6.80388,11.0
222,I,1.05,0.8125,0.25,9.82310175,4.37999775,1.94194075,2.9766975,6.0
223,F,1.3125,1.0625,0.3375,19.63202875,9.31281075,3.72795925,5.2446575,8.0
224,F,1.5125,1.2125,0.3875,32.375129,15.52135125,8.107957,8.50485,10.0
225,F,1.6,1.2625,0.4375,37.1094955,15.80484625,7.6260155,9.07184,10.0
226,M,1.5375,1.15,0.425,29.15746075,15.3370795,4.37999775,7.93786,9.0
227,M,1.6625,1.2875,0.425,41.8722115,17.7184375,8.77417025,12.45960525,10.0
228,I,1.575,1.2125,0.3875,30.91512975,13.6928085,5.17378375,10.0640725,19.0
229,I,1.2875,0.975,0.3125,16.31513725,6.98815175,3.4869885,4.9611625,8.0
230,M,1.2,0.8875,0.3,13.13999325,5.6699,3.572037,4.1106775,9.0
231,F,1.3375,1.05,0.35,21.58814425,6.67630725,5.1312595,6.0951425,16.0
232,I,1.0375,0.8125,0.2875,10.19164525,4.69184225,1.984465,3.118445,8.0
233,I,1.3125,1.075,0.325,19.504456,9.865626,3.72795925,5.386405,9.0
234,M,1.5125,1.1875,0.3625,29.0015385,14.685041,5.40057975,7.087375,9.0
235,I,1.0,0.875,0.25,10.98543125,4.46504625,2.53728025,3.288542,7.0
236,F,1.3,1.0,0.3375,17.95940825,9.7805775,3.6003865,4.3941725,9.0
237,I,1.375,1.0625,0.375,22.5378525,8.3631025,4.89028875,7.2291225,10.0
238,M,1.4125,1.0875,0.3875,24.6924145,12.3320325,4.52174525,7.427569,10.0
239,M,1.5125,1.1875,0.4125,29.540179,12.47378,6.010094,8.788345,11.0
240,F,1.5875,1.2625,0.4125,36.55668025,16.839603,9.015141,9.355335,11.0
241,I,0.9375,0.7,0.2125,6.350288,2.42388225,1.530873,2.05533875,6.0
242,F,1.675,1.3,0.4375,36.7693015,17.78931125,8.34892775,9.4970825,11.0
243,I,1.1625,0.9,0.275,14.35902175,6.10931725,2.3530085,3.96893,8.0
244,F,1.5625,1.2125,0.35,27.1304715,13.08329425,5.03203625,8.0796075,9.0
245,I,1.4125,1.1,0.45,28.5479465,10.9145575,5.71242425,8.6465975,13.0
246,I,1.2,0.8875,0.3,13.437663,6.90310325,2.93417325,3.40194,7.0
247,M,1.2375,0.95,0.3,16.40018575,7.01650125,3.47281375,4.3941725,8.0
248,M,1.675,1.2625,0.45,45.71356875,13.73533275,9.8372765,20.5533875,14.0
249,I,0.9625,0.7125,0.2125,7.6827145,3.24601775,1.09145575,1.927766,7.0
250,I,1.525,1.1625,0.375,27.17299575,11.8784405,6.5487345,9.355335,11.0
251,I,1.45,1.1,0.3625,26.308336,12.40290625,5.159609,7.654365,9.0
252,M,1.4125,1.1,0.3625,23.0481435,10.9145575,4.94698775,6.520385,9.0
253,M,1.2,0.95,0.3375,15.66309875,5.2446575,3.72795925,5.2446575,12.0
254,F,1.5375,1.1875,0.3875,27.76833525,13.8062065,5.99591925,7.61184075,11.0
255,F,1.65,1.2625,0.425,34.8415355,14.855138,8.2497045,10.20582,12.0
256,F,1.8,1.4125,0.475,51.5110415,24.73493875,10.4042665,12.190285,11.0
257,M,1.775,1.425,0.5,60.214338,26.97454925,12.09106175,16.0174675,13.0
258,M,1.575,1.2,0.3375,31.3828965,13.154168,6.3786375,7.6260155,9.0
259,M,1.625,1.25,0.4625,37.63396125,19.94387325,7.95203475,9.355335,12.0
260,I,1.1,0.8625,0.3125,11.2547515,4.6209685,2.3530085,3.40194,7.0
261,I,1.075,0.8,0.2875,11.7083435,5.82582225,2.14038725,2.83495,6.0
262,M,1.35,1.0375,0.4,28.2077525,7.030676,5.88252125,9.355335,17.0
263,F,1.5625,1.2,0.475,30.91512975,10.3475675,8.66077225,10.0640725,12.0
264,M,1.175,0.925,0.325,13.22504175,5.57067675,2.93417325,4.12485225,9.0
265,F,1.8,1.375,0.5,49.668324,19.1359125,10.56018875,16.44271,10.0
266,F,1.5,1.1875,0.3625,32.034935,13.08329425,7.427569,8.6465975,10.0
267,I,1.4125,1.0625,0.3125,23.700182,11.793392,4.139027,6.520385,8.0
268,I,1.1875,0.95,0.3375,14.10387625,6.73300625,2.8066005,3.96893,9.0
269,F,1.4625,1.125,0.4,39.41997975,21.8007655,7.41339425,8.221355,9.0
270,I,1.275,1.0,0.3625,18.6256215,7.3425205,4.57844425,5.8116475,9.0
271,I,1.15,0.8625,0.3,12.54465375,5.71242425,2.4664065,3.33106625,7.0
272,M,1.5125,1.1875,0.375,27.1304715,12.6155275,7.540967,7.6260155,10.0
273,M,1.2125,0.9625,0.3375,16.42853525,6.56290925,2.9199985,5.953395,11.0
274,M,1.625,1.3125,0.5,38.11590275,14.3731965,8.2497045,10.20582,15.0
275,F,1.5875,1.25,0.4375,32.31843,14.64251675,8.37727725,8.3631025,9.0
276,I,1.075,0.85,0.3125,11.89261525,3.912231,2.9766975,3.685435,8.0
277,I,0.925,0.6875,0.2375,5.783298,2.70737725,1.28990225,2.1262125,6.0
278,M,1.5625,1.2375,0.4,48.00987825,18.5689225,8.6465975,15.06775925,19.0
279,F,1.4125,1.075,0.4,28.8314415,9.48290775,6.5487345,7.93786,18.0
280,I,0.675,0.4875,0.0,2.02698925,1.1056305,0.63786375,0.7087375,4.0
281,I,0.825,0.65,0.2125,5.31553125,1.984465,1.20485375,1.8427175,6.0
282,F,1.575,1.2375,0.3875,31.08522675,14.61416725,6.973977,8.164656,9.0
283,M,1.375,1.1,0.3375,21.9708625,8.77417025,4.762716,6.76135575,10.0
284,M,1.475,1.1375,0.35,26.365035,11.94931425,5.8116475,7.5126175,9.0
285,M partially I,0.9625,0.725,0.2375,8.06543275,3.44446425,1.4458245,2.4664065,7.0
286,F,1.5,1.175,0.35,31.53881875,13.08329425,7.32834575,8.6465975,9.0
287,I,1.0,0.775,0.25,8.66077225,3.40194,2.16873675,2.5231055,7.0
288,F,1.5375,1.175,0.4625,31.3261975,13.79203175,7.0023265,8.221355,9.0
289,F,1.6125,1.275,0.4625,38.71124225,17.22232125,9.99319875,10.6310625,8.0
290,I,1.0375,0.7875,0.2875,8.674947,3.72795925,2.08368825,2.83495,12.0
291,M,1.4125,1.1125,0.4,24.39474475,9.28446125,4.5075705,7.37087,10.0
292,M,1.4125,1.1,0.375,26.09571475,11.283101,6.520385,8.0796075,8.0
293,F,1.3125,1.0,0.325,19.43358225,8.788345,4.1673765,5.046211,10.0
294,M,1.425,1.1375,0.4125,25.33027825,11.04213025,6.59125875,6.9456275,9.0
295,F,1.6125,1.25,0.4375,39.81687275,17.44911725,8.88756825,9.7805775,11.0
296,I,1.0625,0.8125,0.2875,10.41844125,4.83358975,2.1262125,3.40194,9.0
297,F,2.0,1.575,0.5375,71.11472075,33.92017675,14.18892475,17.690088,22.0
298,I,1.275,1.0,0.3125,22.5378525,10.70193625,4.89028875,6.23689,9.0
299,M,1.3125,1.0125,0.3625,16.42853525,7.654365,3.95475525,5.6699,9.0
300,F,1.4,1.1125,0.4,22.75047375,9.865626,4.649318,7.37087,13.0
301,I,1.525,1.125,0.4125,25.33027825,11.0846545,6.123492,6.80388,10.0
302,I,1.4,1.1125,0.3125,19.15008725,9.128539,3.72795925,5.953395,8.0
303,M,1.45,1.1625,0.3875,27.895908,13.4660125,5.329706,7.5126175,11.0
304,M,1.5375,1.2375,0.4375,31.59551775,13.2959155,7.52679225,9.63883,9.0
305,M,1.6375,1.3,0.475,42.354153,15.03940975,10.2341695,11.623295,19.0
306,F,1.325,0.9875,0.3125,16.9246515,6.67630725,3.89805625,5.2446575,10.0
307,M,1.625,1.375,0.475,48.7327905,23.23241525,8.051258,13.891255,11.0
308,F,1.3625,1.075,0.35,19.57532975,9.34116025,4.2807745,6.23689,8.0
309,M,1.225,0.9375,0.25,16.31513725,7.1157245,4.72019175,3.685435,9.0
310,I,1.25,0.9625,0.325,16.8112535,8.54737425,3.6003865,5.10291,9.0
311,I,0.775,0.5625,0.1875,4.309124,1.74349425,0.963883,1.3891255,6.0
312,I,1.1875,0.9375,0.325,14.118051,5.74077375,3.27436725,4.3941725,9.0
313,F,1.675,1.3625,0.55,49.384829,21.262125,10.149121,13.60776,10.0
