Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M,Age_pred,Error
0.4,0.25,0.1,0.680388,0.35436875,0.21262125,0.1417475,4,0,0,1,4.0,0.0
0.425,0.3,0.0875,0.41106775,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.275,0.0875,0.29766975,0.18427175,0.07087375,0.1417475,3,0,1,0,4.0,-1.0
0.4125,0.25,0.125,0.49611625,0.2551455,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.3,0.05,0.510291,0.21262125,0.12757275,0.1417475,3,0,0,1,4.0,-1.0
0.4,0.3,0.125,0.5953395,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.35,0.2875,0.125,0.396893,0.09922325,0.226796,0.1417475,5,0,1,0,4.0,1.0
0.4,0.2875,0.1125,0.89300925,0.226796,0.12757275,0.1417475,5,0,1,0,4.0,1.0
0.4,0.3,0.0625,0.55281525,0.21262125,0.1417475,0.170097,4,0,1,0,4.0,0.0
0.4375,0.2125,0.1375,0.77961125,0.35436875,0.283495,0.2551455,4,0,1,0,4.0,0.0
0.425,0.275,0.1875,0.5953395,0.21262125,0.1417475,0.1417475,5,0,1,0,4.0,1.0
0.4,0.3,0.1125,0.510291,0.21262125,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4625,0.3,0.125,0.907184,0.35436875,0.18427175,0.26932025,4,0,1,0,4.0,0.0
0.4125,0.2875,0.0625,0.41106775,0.15592225,0.0850485,0.1417475,5,0,1,0,4.0,1.0
0.4,0.3,0.1,0.5953395,0.18427175,0.21262125,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.2625,0.0875,0.49611625,0.18427175,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.3,0.1,0.92135875,0.41106775,0.18427175,0.283495,6,0,1,0,5.0,1.0
0.475,0.3,0.0625,0.55281525,0.226796,0.15592225,0.21262125,4,0,1,0,4.0,0.0
0.4375,0.275,0.125,0.510291,0.21262125,0.0850485,0.1417475,5,0,1,0,4.0,1.0
0.275,0.225,0.075,0.226796,0.07087375,0.056699,0.056699,3,0,1,0,4.0,-1.0
0.4125,0.3,0.125,0.907184,0.396893,0.226796,0.226796,4,0,1,0,4.0,0.0
0.4125,0.2375,0.0875,0.97805775,0.2551455,0.226796,0.1417475,5,0,1,0,5.0,0.0
0.4125,0.3,0.125,0.510291,0.2551455,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.4,0.25,0.0625,0.92135875,0.38271825,0.1417475,0.1417475,5,0,1,0,5.0,0.0
0.4125,0.3,0.15,0.510291,0.15592225,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.35,0.275,0.1125,0.66621325,0.2551455,0.24097075,0.226796,3,0,1,0,4.0,-1.0
0.5125,0.3,0.15,0.737087,0.29766975,0.09922325,0.1417475,5,0,1,0,4.0,1.0
0.325,0.2375,0.0875,0.41106775,0.09922325,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.0625,0.510291,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.0625,0.66621325,0.35436875,0.18427175,0.1417475,4,0,1,0,4.0,0.0
0.4625,0.25,0.0875,0.41106775,0.29766975,0.15592225,0.283495,4,0,1,0,4.0,0.0
0.35,0.1375,0.0625,0.510291,0.1417475,0.226796,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.275,0.0875,0.49611625,0.1417475,0.1417475,0.1417475,5,0,1,0,4.0,1.0
0.4125,0.3,0.075,0.49611625,0.21262125,0.12757275,0.2551455,4,0,1,0,4.0,0.0
0.4125,0.275,0.0875,0.49611625,0.18427175,0.1417475,0.1417475,5,0,1,0,4.0,1.0
0.4125,0.275,0.0875,0.41106775,0.15592225,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4125,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.3,0.1125,1.45999925,0.5386405,0.3685435,0.3685435,4,0,1,0,4.0,0.0
0.4125,0.3,0.0625,0.5953395,0.21262125,0.12757275,0.396893,3,0,1,0,4.0,-1.0
0.3875,0.2625,0.0875,0.49611625,0.18427175,0.18427175,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.3,0.1,0.510291,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.0625,0.5953395,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.5,0.3,0.1375,0.793786,0.21262125,0.12757275,0.26932025,5,0,1,0,5.0,0.0
0.3875,0.2625,0.1625,0.49611625,0.1417475,0.1417475,0.09922325,4,0,1,0,4.0,0.0
0.425,0.275,0.0625,0.49611625,0.18427175,0.15592225,0.1417475,3,0,1,0,4.0,-1.0
0.3875,0.275,0.1,0.43941725,0.18427175,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.45,0.25,0.15,0.510291,0.2551455,0.24097075,0.24097075,4,0,1,0,4.0,0.0
0.4,0.2625,0.075,0.850485,0.2551455,0.21262125,0.1417475,7,0,1,0,5.0,2.0
0.4,0.3,0.0625,0.680388,0.21262125,0.1417475,0.170097,4,0,1,0,4.0,0.0
0.6,0.3,0.2,2.2963095,0.963883,0.38271825,0.60951425,5,0,0,1,9.0,-4.0
0.4375,0.3,0.1375,0.75126175,0.283495,0.226796,0.26932025,4,0,1,0,4.0,0.0
0.4,0.3,0.0625,0.66621325,0.21262125,0.1417475,0.1417475,6,0,1,0,4.0,2.0
0.5125,0.275,0.1,2.48058125,0.7087375,0.18427175,0.3118445,7,0,1,0,5.0,2.0
0.4,0.3,0.05,0.5953395,0.21262125,0.1417475,0.396893,4,0,1,0,4.0,0.0
0.425,0.25,0.1125,0.963883,0.2551455,0.226796,0.2551455,4,0,1,0,4.0,0.0
0.375,0.25,0.05,0.66621325,0.226796,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.3,0.2625,0.1,0.49611625,0.18427175,0.0850485,0.1417475,5,0,0,1,4.0,1.0
0.425,0.2875,0.0875,0.963883,0.2551455,0.1417475,0.1417475,7,0,1,0,5.0,2.0
0.2875,0.2625,0.0875,0.29766975,0.18427175,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.275,0.0625,0.49611625,0.1417475,0.18427175,0.1417475,4,0,1,0,4.0,0.0
0.4,0.2625,0.1125,1.23320325,0.1984465,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.425,0.3,0.0875,0.963883,0.21262125,0.1417475,0.1417475,4,0,1,0,5.0,-1.0
0.4125,0.3,0.1,0.5953395,0.1417475,0.09922325,0.18427175,4,0,1,0,4.0,0.0
0.4125,0.2875,0.0375,0.41106775,0.1417475,0.18427175,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.25,0.1375,1.99863975,0.680388,0.32601925,0.21262125,4,0,1,0,4.0,0.0
0.3875,0.2625,0.0,0.49611625,0.1417475,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.3,0.15,0.1,0.35436875,0.18427175,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.35,0.2875,0.0875,0.226796,0.09922325,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.3,0.1125,0.66621325,0.2551455,0.1417475,0.1417475,5,0,1,0,4.0,1.0
0.4625,0.3,0.1125,0.963883,0.38271825,0.1417475,0.283495,3,0,1,0,4.0,-1.0
0.325,0.25,0.0875,0.12757275,0.12757275,0.0850485,0.113398,8,0,1,0,4.0,4.0
0.5375,0.2625,0.1375,0.9922325,0.26932025,0.15592225,0.226796,5,0,1,0,5.0,0.0
0.425,0.2625,0.125,0.8221355,0.340194,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.5,0.2625,0.05,0.963883,0.35436875,0.21262125,0.1417475,5,0,1,0,5.0,0.0
0.4,0.275,0.0625,0.29766975,0.21262125,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.475,0.275,0.1,0.75126175,0.35436875,0.18427175,0.226796,4,0,1,0,4.0,0.0
0.4375,0.3,0.025,0.89300925,0.3118445,0.21262125,0.283495,4,0,1,0,5.0,-1.0
0.35,0.2625,0.0625,0.49611625,0.1417475,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4125,0.2875,0.0625,0.510291,0.18427175,0.1417475,0.1417475,4,0,0,1,4.0,0.0
0.1875,0.1375,0.025,0.056699,0.0283495,0.04252425,0.04252425,4,0,1,0,4.0,0.0
0.375,0.2875,0.0625,0.41106775,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.45,0.3,0.1125,0.89300925,0.35436875,0.18427175,0.29766975,4,0,1,0,4.0,0.0
0.4125,0.2875,0.0875,0.41106775,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.2625,0.0875,0.510291,0.1417475,0.113398,0.1417475,4,0,1,0,4.0,0.0
0.45,0.2875,0.075,0.907184,0.35436875,0.18427175,0.226796,4,0,0,1,5.0,-1.0
0.525,0.3,0.175,1.0489315,0.56699,0.18427175,0.3685435,6,0,1,0,5.0,1.0
0.4,0.2625,0.0875,0.41106775,0.15592225,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.0875,0.97805775,0.21262125,0.12757275,0.1417475,4,0,1,0,5.0,-1.0
0.4,0.275,0.0625,0.510291,0.21262125,0.18427175,0.1417475,5,0,1,0,4.0,1.0
0.45,0.3,0.0875,0.5953395,0.2551455,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.275,0.0875,0.66621325,0.226796,0.07087375,0.15592225,4,0,1,0,4.0,0.0
0.35,0.2625,0.0875,0.43941725,0.18427175,0.09922325,0.1417475,4,0,0,1,4.0,0.0
0.3125,0.2625,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,3,0,1,0,4.0,-1.0
0.3,0.2625,0.125,0.49611625,0.1417475,0.18427175,0.09922325,3,0,1,0,4.0,-1.0
0.4,0.275,0.1375,0.5386405,0.340194,0.18427175,0.283495,4,0,0,1,4.0,0.0
0.3875,0.275,0.075,0.43941725,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.125,0.5953395,0.21262125,0.12757275,0.396893,4,0,1,0,4.0,0.0
0.425,0.2875,0.075,0.41106775,0.07087375,0.0850485,0.170097,5,0,1,0,4.0,1.0
0.4125,0.2625,0.0625,0.510291,0.21262125,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.2625,0.1125,0.680388,0.2551455,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4125,0.275,0.0875,0.41106775,0.18427175,0.09922325,0.1417475,4,0,0,1,4.0,0.0
0.3125,0.2625,0.0875,0.49611625,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.475,0.3,0.1125,0.75126175,0.2551455,0.1417475,0.2551455,3,0,1,0,4.0,-1.0
0.4375,0.3,0.0625,0.793786,0.26932025,0.24097075,0.26932025,5,0,1,0,4.0,1.0
0.4375,0.3,0.0875,0.510291,0.18427175,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.0875,0.66621325,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.2875,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.3,0.0625,0.510291,0.18427175,0.18427175,0.1417475,5,0,1,0,4.0,1.0
0.4,0.275,0.1,0.510291,0.18427175,0.0850485,0.1417475,6,0,1,0,4.0,2.0
0.4,0.275,0.0875,0.41106775,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.1125,0.75126175,0.21262125,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.425,0.2625,0.0875,0.226796,0.07087375,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.2625,0.0625,0.510291,0.283495,0.1417475,0.1417475,3,0,1,0,4.0,-1.0
0.5375,0.25,0.1,0.850485,0.3118445,0.1417475,0.283495,7,0,1,0,5.0,2.0
0.4,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.396893,3,0,1,0,4.0,-1.0
0.4375,0.3,0.1,0.7654365,0.283495,0.21262125,0.26932025,5,0,1,0,4.0,1.0
0.45,0.3,0.0875,0.66621325,0.26932025,0.15592225,0.24097075,3,0,1,0,4.0,-1.0
0.375,0.275,0.075,0.3685435,0.12757275,0.0850485,0.113398,3,0,1,0,4.0,-1.0
0.4,0.3,0.0875,0.510291,0.21262125,0.1417475,0.1417475,6,0,1,0,4.0,2.0
0.3875,0.2625,0.1125,0.49611625,0.1417475,0.09922325,0.1417475,5,0,1,0,4.0,1.0
0.4375,0.275,0.0625,0.680388,0.21262125,0.1417475,0.1417475,6,0,1,0,4.0,2.0
0.4125,0.3,0.125,0.66621325,0.226796,0.12757275,0.226796,4,0,1,0,4.0,0.0
0.4,0.275,0.0625,0.89300925,0.35436875,0.15592225,0.1417475,4,0,1,0,5.0,-1.0
0.4,0.3,0.1,0.5953395,0.1417475,0.12757275,0.21262125,5,0,1,0,4.0,1.0
0.4,0.2625,0.0625,0.29766975,0.18427175,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.3375,0.2625,0.0875,0.66621325,0.226796,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.45,0.25,0.1125,0.6520385,0.2551455,0.15592225,0.24097075,5,0,0,1,4.0,1.0
0.4125,0.275,0.0625,0.66621325,0.21262125,0.12757275,0.1417475,5,0,1,0,4.0,1.0
0.3375,0.2625,0.1375,0.38271825,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4625,0.3,0.0625,0.77961125,0.2551455,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.375,0.275,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,8,0,1,0,4.0,4.0
0.325,0.25,0.0875,0.680388,0.18427175,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.45,0.3,0.1,0.75126175,0.2551455,0.1417475,0.2551455,4,0,1,0,4.0,0.0
0.325,0.2625,0.1125,0.5953395,0.2551455,0.1417475,0.24097075,4,0,1,0,4.0,0.0
0.4375,0.3,0.125,0.89300925,0.35436875,0.0850485,0.29766975,3,0,1,0,4.0,-1.0
0.525,0.3,0.1125,0.75126175,0.226796,0.15592225,0.21262125,4,0,1,0,4.0,0.0
0.3875,0.2625,0.0875,0.9922325,0.21262125,0.226796,0.1417475,4,0,1,0,5.0,-1.0
0.4,0.3,0.0625,0.510291,0.21262125,0.21262125,0.1417475,5,0,1,0,4.0,1.0
0.3125,0.3,0.0125,0.29766975,0.15592225,0.0850485,0.113398,4,0,1,0,4.0,0.0
0.35,0.25,0.075,0.41106775,0.1417475,0.113398,0.1417475,4,0,0,1,4.0,0.0
0.425,0.2875,0.0625,0.963883,0.340194,0.1417475,0.24097075,4,0,1,0,4.0,0.0
0.4125,0.275,0.05,0.510291,0.21262125,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.5125,0.1375,0.0875,0.66621325,0.12757275,0.0850485,0.226796,4,0,1,0,4.0,0.0
0.4,0.3,0.0875,0.58116475,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.0625,0.41106775,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.125,0.5953395,0.21262125,0.12757275,0.21262125,4,0,1,0,4.0,0.0
0.425,0.2625,0.0875,0.963883,0.340194,0.21262125,0.1417475,5,0,1,0,5.0,0.0
0.4,0.2875,0.0375,0.41106775,0.15592225,0.0850485,0.1417475,3,0,1,0,4.0,-1.0
0.4125,0.3,0.1,0.5953395,0.18427175,0.12757275,0.21262125,4,0,1,0,4.0,0.0
0.4,0.3,0.0,0.510291,0.2551455,0.226796,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.3,0.0875,0.41106775,0.1417475,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.1125,0.8788345,0.41106775,0.226796,0.283495,5,0,1,0,4.0,1.0
0.35,0.2625,0.0875,0.29766975,0.1417475,0.18427175,0.09922325,4,0,1,0,4.0,0.0
0.35,0.2625,0.0875,0.49611625,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.0875,0.66621325,0.2551455,0.12757275,0.21262125,4,0,1,0,4.0,0.0
0.4125,0.1875,0.0625,0.5953395,0.18427175,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.275,0.125,0.66621325,0.226796,0.07087375,0.226796,3,0,1,0,4.0,-1.0
0.4,0.275,0.0875,0.510291,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.425,0.2875,0.075,0.66621325,0.15592225,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.375,0.2625,0.0625,0.66621325,0.21262125,0.12757275,0.1417475,5,0,1,0,4.0,1.0
0.4125,0.3,0.125,0.5953395,0.21262125,0.12757275,0.396893,5,0,1,0,4.0,1.0
0.375,0.2875,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.1,0.7087375,0.35436875,0.18427175,0.283495,4,0,1,0,4.0,0.0
0.3625,0.2625,0.0875,0.396893,0.15592225,0.07087375,0.113398,6,0,1,0,4.0,2.0
0.4625,0.3,0.1125,0.907184,0.21262125,0.1417475,0.226796,4,0,1,0,4.0,0.0
0.4125,0.3,0.1125,0.66621325,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.35,0.2625,0.075,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.425,0.275,0.2375,0.850485,0.3685435,0.18427175,0.226796,4,0,1,0,9.0,-5.0
0.4,0.275,0.0625,0.510291,0.18427175,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.075,0.5953395,0.21262125,0.12757275,0.1417475,2,0,1,0,4.0,-2.0
0.425,0.3,0.15,0.72291225,0.35436875,0.226796,0.283495,4,0,0,1,4.0,0.0
0.4125,0.25,0.1375,0.41106775,0.1417475,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.4,0.275,0.0875,0.41106775,0.15592225,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.45,0.3,0.0875,0.907184,0.35436875,0.18427175,0.226796,4,0,1,0,5.0,-1.0
0.4,0.2125,0.0625,0.49611625,0.18427175,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.375,0.2625,0.1125,0.75126175,0.26932025,0.1417475,0.226796,4,0,1,0,4.0,0.0
0.425,0.275,0.0625,0.89300925,0.35436875,0.1417475,0.2551455,5,0,1,0,5.0,0.0
0.45,0.3,0.0875,0.793786,0.26932025,0.21262125,0.226796,4,0,1,0,4.0,0.0
0.375,0.25,0.075,0.3685435,0.12757275,0.0850485,0.113398,3,0,1,0,4.0,-1.0
0.35,0.2875,0.0875,0.5953395,0.1417475,0.07087375,0.1417475,4,0,1,0,4.0,0.0
0.375,0.275,0.1,0.963883,0.18427175,0.07756975,0.1417475,4,0,1,0,5.0,-1.0
0.4,0.25,0.0625,0.4252425,0.21262125,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.25,0.0875,0.963883,0.2551455,0.1417475,0.26932025,4,0,1,0,5.0,-1.0
0.4375,0.2625,0.1375,0.66621325,0.18427175,0.1417475,0.1417475,8,0,1,0,4.0,4.0
0.5,0.275,0.1375,0.5953395,0.41106775,0.15592225,0.340194,3,0,1,0,4.0,-1.0
0.425,0.2625,0.0875,0.963883,0.340194,0.24097075,0.283495,4,0,1,0,4.0,0.0
0.4,0.3,0.075,0.3685435,0.18427175,0.1417475,0.15592225,4,0,1,0,4.0,0.0
0.3875,0.2875,0.0625,0.680388,0.2551455,0.1417475,0.21262125,4,0,0,1,4.0,0.0
0.4375,0.3,0.125,0.66621325,0.226796,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.4,0.275,0.0875,0.41106775,0.21262125,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4375,0.3,0.1375,0.793786,0.2551455,0.21262125,0.2551455,6,0,1,0,4.0,2.0
0.3875,0.2625,0.125,0.49611625,0.18427175,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.2375,0.0875,0.41106775,0.15592225,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4875,0.25,0.0625,0.38271825,0.226796,0.18427175,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.3,0.1625,0.963883,0.21262125,0.1417475,0.1417475,3,0,1,0,4.0,-1.0
0.3,0.2375,0.0875,0.29766975,0.15592225,0.09922325,0.1417475,6,0,1,0,4.0,2.0
0.3875,0.3,0.0625,0.5953395,0.21262125,0.12757275,0.1417475,5,0,1,0,4.0,1.0
0.3875,0.2625,0.1,0.41106775,0.1417475,0.09922325,0.1417475,5,0,1,0,4.0,1.0
0.35,0.2625,0.0625,0.41106775,0.15592225,0.113398,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.2875,0.0625,0.41106775,0.21262125,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.35,0.2625,0.0875,0.9922325,0.21262125,0.18427175,0.1417475,4,0,1,0,5.0,-1.0
0.35,0.2625,0.0875,0.396893,0.15592225,0.09922325,0.113398,3,0,1,0,4.0,-1.0
0.4,0.3,0.1375,0.793786,0.2551455,0.1417475,0.2551455,5,0,1,0,4.0,1.0
0.425,0.2375,0.0875,0.89300925,1.077281,0.226796,0.26932025,5,0,1,0,5.0,0.0
0.5375,0.3,0.175,0.75126175,0.26932025,0.12757275,0.226796,5,0,1,0,4.0,1.0
0.45,0.3,0.075,0.86465975,0.3118445,0.21262125,0.283495,5,0,1,0,4.0,1.0
0.4,0.275,0.0625,0.5953395,0.21262125,0.1417475,0.1417475,7,0,1,0,4.0,3.0
0.4,0.2625,0.1125,0.510291,0.1417475,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.4375,0.2625,0.0875,0.29766975,0.1417475,0.18427175,0.09922325,6,0,1,0,4.0,2.0
0.4125,0.2875,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,6,0,1,0,4.0,2.0
0.4125,0.2375,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.2875,0.1375,0.850485,0.21262125,0.12757275,0.1417475,6,0,1,0,4.0,2.0
0.4375,0.3,0.1,0.41106775,0.21262125,0.18427175,0.1417475,4,0,1,0,4.0,0.0
0.4,0.15,0.0625,0.5953395,0.21262125,0.15592225,0.2551455,3,0,1,0,4.0,-1.0
0.4125,0.275,0.075,0.4252425,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.2625,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.3,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.4,0.275,0.075,0.510291,0.15592225,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.325,0.275,0.1125,0.21262125,0.15592225,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.275,0.1,0.510291,0.18427175,0.1417475,0.18427175,5,0,0,1,4.0,1.0
0.4125,0.275,0.0625,0.55281525,0.21262125,0.1417475,0.170097,6,0,1,0,4.0,2.0
0.3875,0.275,0.075,0.43941725,0.18427175,0.0850485,0.1417475,3,0,1,0,4.0,-1.0
0.7875,0.575,0.0,3.72795925,1.417475,0.80796075,1.13398,4,0,1,0,6.0,-2.0
0.375,0.325,0.075,0.3685435,0.2551455,0.1417475,0.170097,4,0,1,0,4.0,0.0
0.475,0.325,0.075,0.83631025,0.43941725,0.4252425,0.283495,4,0,1,0,5.0,-1.0
0.6375,0.4625,0.0625,0.75126175,0.2551455,0.226796,0.2551455,6,0,1,0,4.0,2.0
0.737087,0.525,0.0,2.26796,0.737087,0.6520385,0.7087375,5,0,1,0,4.0,1.0
